Date,Task,Processing Time (mins),Error Rate,Completion Rate,Manual Intervention
2023-01-01,Application Review,30,0.017793174771597628,0.9719085349831883,0.09897837076069525
2023-01-01,Background Check,14,0.061552984991480875,0.9673689641196038,0.2284359135409691
2023-01-01,Interview Scheduling,12,0.051334475871432785,0.9222247875637248,0.0687390479723185
2023-01-01,Offer Letter Creation,17,0.04537487016723537,0.9218575178778705,0.0897675301373297
2023-01-01,Onboarding Documents,30,0.05909274815131652,0.9493663874673162,0.13984180925677073
2023-01-02,Application Review,18,0.06666013196744787,0.9204549131774643,0.2111638503665616
2023-01-02,Background Check,32,0.03958300787074518,0.9394509939170149,0.09306275242151776
2023-01-02,Interview Scheduling,34,0.033561618157883874,0.9264922090366103,0.06934327536669281
2023-01-02,Offer Letter Creation,37,0.03407690057352798,0.938516460705541,0.05869008858461944
2023-01-02,Onboarding Documents,24,0.047535966401829055,0.9881181034785559,0.1257068754416707
2023-01-03,Application Review,27,0.030522479698496502,0.964004785964611,0.22709034958736135
2023-01-03,Background Check,21,0.05041465016797335,0.9693200285350446,0.059164876731132444
2023-01-03,Interview Scheduling,17,0.06411478385520844,0.988965506446253,0.22106354420302937
2023-01-03,Offer Letter Creation,37,0.017070100058681037,0.9394581522177065,0.17713688885288004
2023-01-03,Onboarding Documents,21,0.02138578680092594,0.9448689490159266,0.18403503487553868
2023-01-04,Application Review,32,0.07556582113987458,0.9653624769672615,0.17182620113339764
2023-01-04,Background Check,15,0.047389791392079564,0.9371367647605998,0.14245204237022316
2023-01-04,Interview Scheduling,18,0.07926663454456166,0.9647999831897865,0.16138994875492924
2023-01-04,Offer Letter Creation,31,0.03269979140907253,0.9737819504314661,0.06118758950985679
2023-01-04,Onboarding Documents,36,0.012247017073282643,0.9420817133641357,0.10354817519514055
2023-01-05,Application Review,16,0.07391952869298815,0.9597026036034951,0.19358285414379522
2023-01-05,Background Check,16,0.05588070657064161,0.9476942330742465,0.2329095179481087
2023-01-05,Interview Scheduling,24,0.02000101133094439,0.9297741223667855,0.19899779641832133
2023-01-05,Offer Letter Creation,27,0.02839191259660547,0.9609210193156479,0.2295645767204954
2023-01-05,Onboarding Documents,22,0.03533975105995277,0.9898128044592412,0.07766634897817118
2023-01-06,Application Review,25,0.016363658852165574,0.9232981462797315,0.07192982607013183
2023-01-06,Background Check,30,0.02119874012057152,0.9676336849447429,0.16928180614639476
2023-01-06,Interview Scheduling,22,0.036713350055457575,0.9897284966168067,0.1558228690198274
2023-01-06,Offer Letter Creation,27,0.07025457915641486,0.9208036715359974,0.19414436387203893
2023-01-06,Onboarding Documents,31,0.07193519150903764,0.9725614459714127,0.20371974653148922
2023-01-07,Application Review,20,0.017808652151711353,0.9504335675468374,0.1407447412658413
2023-01-07,Background Check,40,0.06054644429169376,0.9703776468220147,0.2443776197740229
2023-01-07,Interview Scheduling,34,0.022505631637109197,0.9838839487541374,0.2241037139673534
2023-01-07,Offer Letter Creation,19,0.0689168543720727,0.9555364017384345,0.08978222035294661
2023-01-07,Onboarding Documents,21,0.06337575600526059,0.9577565321083739,0.20572529572611165
2023-01-08,Application Review,26,0.07429454460769916,0.9619261209122161,0.14772114160578959
2023-01-08,Background Check,13,0.0750369031385232,0.9815105314476229,0.21633310587223592
2023-01-08,Interview Scheduling,19,0.02676166172366412,0.9368610114713063,0.163471388737782
2023-01-08,Offer Letter Creation,12,0.015995741644751517,0.954019332432163,0.06384250369367672
2023-01-08,Onboarding Documents,34,0.0472894318670661,0.9288032358064309,0.1819501645494735
2023-01-09,Application Review,40,0.04848625154464608,0.9385539640258042,0.22448660821705152
2023-01-09,Background Check,23,0.07750540342052187,0.9850239445101524,0.20105303932716112
2023-01-09,Interview Scheduling,32,0.024080574437278714,0.9418201403910627,0.24902987133217896
2023-01-09,Offer Letter Creation,30,0.03613943517705057,0.9829729859250061,0.14029722827822594
2023-01-09,Onboarding Documents,17,0.025728813592209014,0.9436659893503219,0.16766174369144665
2023-01-10,Application Review,17,0.05119080800872458,0.9205033587289566,0.19156818930969083
2023-01-10,Background Check,11,0.026025924866780806,0.983379400910429,0.2219270800507493
2023-01-10,Interview Scheduling,12,0.045990928386601244,0.9394934084775183,0.14708289983009815
2023-01-10,Offer Letter Creation,27,0.019261829410751753,0.985485996840647,0.1642086186650569
2023-01-10,Onboarding Documents,25,0.027009806967700715,0.9531081060061216,0.1314119922971873
2023-01-11,Application Review,13,0.016785156996017632,0.9501735827684464,0.13471572460398418
2023-01-11,Background Check,24,0.07046857238587223,0.923791983106252,0.18069109765315833
2023-01-11,Interview Scheduling,30,0.01688925098063712,0.9481834897471588,0.11786052107899264
2023-01-11,Offer Letter Creation,37,0.01764883225713628,0.9334113050499158,0.15725715078206887
2023-01-11,Onboarding Documents,14,0.0395317147884083,0.9394981601266859,0.0999612895764201
2023-01-12,Application Review,39,0.015276942186200255,0.9765615571312192,0.22119337849367454
2023-01-12,Background Check,13,0.013541183066741687,0.9899497727888908,0.2172055170159904
2023-01-12,Interview Scheduling,12,0.07484568881056894,0.9794087014090014,0.0832622221207828
2023-01-12,Offer Letter Creation,25,0.04369508925797277,0.9805255275821151,0.23048857310210974
2023-01-12,Onboarding Documents,15,0.03652811832838413,0.9889716190645808,0.1030406116344304
2023-01-13,Application Review,35,0.06495905497558851,0.9399674460262845,0.18931830072003253
2023-01-13,Background Check,33,0.07967958826448997,0.9589037826383933,0.1936816550592652
2023-01-13,Interview Scheduling,14,0.023292850708734603,0.9352390628889923,0.06169665840145988
2023-01-13,Offer Letter Creation,33,0.0479536640961992,0.9723582892265344,0.061433054581496616
2023-01-13,Onboarding Documents,28,0.04337519619762545,0.9843570991582453,0.15622522705410827
2023-01-14,Application Review,11,0.07725452322921153,0.9256078025668412,0.08716499219614465
2023-01-14,Background Check,29,0.014757260436303009,0.980327344137909,0.1307551102636555
2023-01-14,Interview Scheduling,40,0.07232011198906063,0.9372350743452038,0.16890383070668824
2023-01-14,Offer Letter Creation,29,0.015738838384641286,0.9660161215130766,0.1630453847688179
2023-01-14,Onboarding Documents,20,0.0754294380415499,0.9342981439596476,0.19323836015788298
2023-01-15,Application Review,17,0.028593015877194768,0.9291614797489219,0.1791001577675299
2023-01-15,Background Check,24,0.032132403739029786,0.9726305144690082,0.06450862289863146
2023-01-15,Interview Scheduling,24,0.0534811478845165,0.9594095551947263,0.0699962497849177
2023-01-15,Offer Letter Creation,27,0.02492080185869283,0.9385640290325281,0.23665187559874185
2023-01-15,Onboarding Documents,38,0.01481539198420135,0.9370999091555692,0.10699747824333135
2023-01-16,Application Review,24,0.0683621468247865,0.969247794756116,0.17233555314519003
2023-01-16,Background Check,35,0.05577834223975129,0.9205476175006511,0.21342082702309234
2023-01-16,Interview Scheduling,19,0.07522292276052542,0.9272510551342749,0.22562539299471845
2023-01-16,Offer Letter Creation,18,0.018080006929337155,0.9274925184396593,0.16064472817696318
2023-01-16,Onboarding Documents,18,0.029722939002052605,0.934744075836486,0.11857605755865173
2023-01-17,Application Review,31,0.054396657121955586,0.9384788731141287,0.14770637042987533
2023-01-17,Background Check,38,0.07357113323530004,0.9235559225563772,0.17685688946183886
2023-01-17,Interview Scheduling,36,0.029367615678057617,0.9202481982361448,0.20422384460392545
2023-01-17,Offer Letter Creation,30,0.07858585676801852,0.9313107383391721,0.13836710237217012
2023-01-17,Onboarding Documents,32,0.03993808432864756,0.9206768789725839,0.06504877201475341
2023-01-18,Application Review,38,0.058371373662911355,0.9304337999834964,0.057205627612166125
2023-01-18,Background Check,21,0.050775669654285586,0.9303665649897238,0.07548910385642776
2023-01-18,Interview Scheduling,19,0.035525606072907924,0.9853161607364458,0.2444392530034521
2023-01-18,Offer Letter Creation,11,0.07292472455685323,0.9347053576837828,0.0999059478445849
2023-01-18,Onboarding Documents,13,0.034757504423023285,0.9591918463400709,0.22494254470821823
2023-01-19,Application Review,29,0.062463432780047755,0.9848034675798689,0.09734746644587174
2023-01-19,Background Check,15,0.0783344223051674,0.9767540203958278,0.2262832409326649
2023-01-19,Interview Scheduling,10,0.022555246439274493,0.9847141106669082,0.20647729922952635
2023-01-19,Offer Letter Creation,23,0.06615645972559973,0.9804844819862696,0.21214986331487778
2023-01-19,Onboarding Documents,18,0.02114384900865119,0.9690894731697939,0.12650834451938686
2023-01-20,Application Review,11,0.07010152759364471,0.9355703602281965,0.21331732111938578
2023-01-20,Background Check,24,0.03447608971121431,0.9774375466680093,0.22426460717260166
2023-01-20,Interview Scheduling,17,0.011656510429101607,0.9335190851829397,0.11565239023954131
2023-01-20,Offer Letter Creation,37,0.014859452826397397,0.9741328646208253,0.12022922581655045
2023-01-20,Onboarding Documents,26,0.037977486905204264,0.9886804781038782,0.1572431464957444
2023-01-21,Application Review,40,0.011932037458374513,0.9813926888102892,0.10224303927804204
2023-01-21,Background Check,28,0.07737740210330889,0.9385826453766078,0.07168050944294223
2023-01-21,Interview Scheduling,23,0.03419809781758602,0.9750499724742577,0.1372787767741216
2023-01-21,Offer Letter Creation,26,0.018095204882053132,0.9829653313037839,0.08801575490045921
2023-01-21,Onboarding Documents,11,0.05961496986839195,0.9201183894753041,0.23511503309981657
2023-01-22,Application Review,27,0.05808000028401688,0.9858184184278287,0.1974075386980601
2023-01-22,Background Check,16,0.03549550302468849,0.9248981667788417,0.18284753698225448
2023-01-22,Interview Scheduling,20,0.053620878696248646,0.9664371233385881,0.07492506313287356
2023-01-22,Offer Letter Creation,38,0.031022558774788496,0.9416499263546058,0.1316785817238434
2023-01-22,Onboarding Documents,22,0.05880458899360794,0.9588088734366755,0.08836801859802951
2023-01-23,Application Review,31,0.07582545695111281,0.9674122561690913,0.23056110914651656
2023-01-23,Background Check,29,0.04983736784060666,0.9484252618130714,0.2167450338608115
2023-01-23,Interview Scheduling,19,0.030083960180824904,0.9500921704992884,0.1659969562391364
2023-01-23,Offer Letter Creation,30,0.032557446081557674,0.9509250211786567,0.18512544663802
2023-01-23,Onboarding Documents,26,0.04312303301365284,0.9830826578079778,0.20920495202535605
2023-01-24,Application Review,15,0.05611955214988953,0.9398650483495119,0.18277076726099978
2023-01-24,Background Check,29,0.033463177878686065,0.9772896425175664,0.20022762750814643
2023-01-24,Interview Scheduling,31,0.03172936250064407,0.9764594026203386,0.07947079244915455
2023-01-24,Offer Letter Creation,11,0.02713897808548451,0.9532595440953163,0.2199475389249464
2023-01-24,Onboarding Documents,12,0.041879131786606245,0.9820295836335687,0.16513417988186363
2023-01-25,Application Review,32,0.05874479753433535,0.9546064018307306,0.09879688791568778
2023-01-25,Background Check,30,0.058133568915636376,0.9824861878347957,0.22208811308450427
2023-01-25,Interview Scheduling,38,0.017461110759447725,0.9497602335759914,0.08517733634130634
2023-01-25,Offer Letter Creation,40,0.058713824348576686,0.9525184919201977,0.16148115880667907
2023-01-25,Onboarding Documents,39,0.06938354431461619,0.9519523277829121,0.2102833203444529
2023-01-26,Application Review,31,0.047179232009891214,0.9591247703260307,0.11345959149306953
2023-01-26,Background Check,34,0.07239981480673059,0.9628856625933234,0.19385479225519342
2023-01-26,Interview Scheduling,26,0.03987185298010589,0.9834798311319279,0.13918272241534008
2023-01-26,Offer Letter Creation,15,0.06205588095117095,0.9532272105776137,0.10183830969300388
2023-01-26,Onboarding Documents,17,0.06879040214893446,0.9394117947191518,0.20553496706679436
2023-01-27,Application Review,25,0.05387239058872469,0.9392218212842277,0.06549667077294717
2023-01-27,Background Check,19,0.026414550461024477,0.943509327563492,0.22860536655806335
2023-01-27,Interview Scheduling,12,0.0196861843061309,0.936188303580973,0.18878996245981045
2023-01-27,Offer Letter Creation,32,0.024976701397419122,0.9490407527128752,0.11617627820761672
2023-01-27,Onboarding Documents,24,0.03910419638722092,0.9344784072660087,0.13402870355468513
2023-01-28,Application Review,38,0.06388570406202643,0.9862243423513071,0.05390639134754543
2023-01-28,Background Check,38,0.06359162032826486,0.9466266720249399,0.05117921671679862
2023-01-28,Interview Scheduling,21,0.030902885666066846,0.9472990653644603,0.22832830839370238
2023-01-28,Offer Letter Creation,36,0.039331489784087535,0.9723260968284636,0.15922646194676782
2023-01-28,Onboarding Documents,29,0.07284679431794366,0.9541760634285176,0.10458706235265132
2023-01-29,Application Review,25,0.012031737396270068,0.9435290680588868,0.18582837700566995
2023-01-29,Background Check,22,0.06069269643391022,0.9788353964143791,0.2339083241337952
2023-01-29,Interview Scheduling,29,0.04738865406727531,0.9834850203810738,0.1683785551255822
2023-01-29,Offer Letter Creation,31,0.011897143243821871,0.9649924753606535,0.07713989744611285
2023-01-29,Onboarding Documents,24,0.022721031855940252,0.9382109419743514,0.11547053338834685
2023-01-30,Application Review,24,0.0328792063416916,0.973286079552582,0.12582524311282728
2023-01-30,Background Check,34,0.07658428839023933,0.9495095378731118,0.21698218298242428
2023-01-30,Interview Scheduling,25,0.011356830093500749,0.9577593333545774,0.24998156570184188
2023-01-30,Offer Letter Creation,21,0.025695551600382373,0.9248032859316939,0.24145712055527369
2023-01-30,Onboarding Documents,11,0.06279632428416684,0.9864728212901193,0.08987213647250658
2023-01-31,Application Review,10,0.053493495961031055,0.9366981459322234,0.14471221218922561
2023-01-31,Background Check,13,0.04947787073510134,0.9352575178634552,0.18989299424923017
2023-01-31,Interview Scheduling,34,0.0358226622026059,0.9624124884792218,0.24274694882024178
2023-01-31,Offer Letter Creation,32,0.018017300996522836,0.9773510822017759,0.24294415460681756
2023-01-31,Onboarding Documents,13,0.05050793127564705,0.9850221017884985,0.16515934568248283
2023-02-01,Application Review,39,0.07707209867441271,0.947765810906164,0.19300294100989368
2023-02-01,Background Check,12,0.05144685028748966,0.9781400143646223,0.09856987610742643
2023-02-01,Interview Scheduling,32,0.06407366194658569,0.9795205267362157,0.17008232296336884
2023-02-01,Offer Letter Creation,13,0.06573590516201484,0.9596152788757121,0.058213826041227226
2023-02-01,Onboarding Documents,27,0.03998646092643211,0.9459399613352639,0.15119215793541557
2023-02-02,Application Review,20,0.010885650511609717,0.9494041118589279,0.14804034099808167
2023-02-02,Background Check,23,0.0772551297050205,0.9644909574271012,0.21574146220049167
2023-02-02,Interview Scheduling,32,0.020709380436570196,0.9323295872760242,0.15434934938769598
2023-02-02,Offer Letter Creation,30,0.02890576774711806,0.9765739453164729,0.15763458128965116
2023-02-02,Onboarding Documents,25,0.04254116401441555,0.9778014218894528,0.16849492381274034
2023-02-03,Application Review,20,0.06961992120135323,0.9781511713223422,0.06733257961113488
2023-02-03,Background Check,38,0.04155614001356394,0.9725333397278905,0.16396992893566445
2023-02-03,Interview Scheduling,31,0.036529251288978486,0.9220089998439063,0.2201905672624918
2023-02-03,Offer Letter Creation,15,0.04412849526739411,0.9448377476323266,0.10167048177173561
2023-02-03,Onboarding Documents,18,0.07162239858307579,0.9690828625232542,0.10525371515123699
2023-02-04,Application Review,10,0.0461639076200454,0.9333739496468969,0.09827121007453599
2023-02-04,Background Check,23,0.04420044927941512,0.9730715257437726,0.18812186788930463
2023-02-04,Interview Scheduling,30,0.059828968453090596,0.95137221847106,0.05344865186967454
2023-02-04,Offer Letter Creation,19,0.02551174803307711,0.9684251008706641,0.11124120602601768
2023-02-04,Onboarding Documents,28,0.03583143154627259,0.9587431068507175,0.11875147882924052
2023-02-05,Application Review,33,0.048527193092967505,0.9446267369329918,0.1407490525706357
2023-02-05,Background Check,19,0.027598257334065908,0.9284459119326615,0.08851685869030348
2023-02-05,Interview Scheduling,13,0.06200167445473729,0.9865614292275404,0.18803271082811035
2023-02-05,Offer Letter Creation,16,0.0251469247915024,0.9538939011048896,0.1949170002186103
2023-02-05,Onboarding Documents,34,0.04672458083760256,0.9398099092292469,0.07010522161815816
2023-02-06,Application Review,16,0.030737252428560118,0.9452616748404571,0.11045351775608712
2023-02-06,Background Check,32,0.04738945624873644,0.9392017928748287,0.24485898622054758
2023-02-06,Interview Scheduling,27,0.030449565118694427,0.9860862730357018,0.17757393102118552
2023-02-06,Offer Letter Creation,34,0.044361508616664526,0.9810903814498975,0.16481284392526646
2023-02-06,Onboarding Documents,25,0.043509994602447866,0.9438494152792205,0.243099528627659
2023-02-07,Application Review,18,0.07587445177376723,0.9534410431085981,0.2144231290598861
2023-02-07,Background Check,22,0.044422259220374766,0.9603914809529572,0.18729020365120336
2023-02-07,Interview Scheduling,14,0.020443830913155863,0.9593987717959195,0.11076710236844554
2023-02-07,Offer Letter Creation,17,0.018291609354802313,0.9735110411728336,0.17126353024859256
2023-02-07,Onboarding Documents,35,0.05328928467480913,0.9742985477788753,0.12607560522930988
2023-02-08,Application Review,39,0.04099047028135299,0.9802116666078327,0.24800625209335958
2023-02-08,Background Check,19,0.04980406294369633,0.9242161213060779,0.24202175548685984
2023-02-08,Interview Scheduling,13,0.07633131402277646,0.9345451534076487,0.0922050390610786
2023-02-08,Offer Letter Creation,31,0.0156831225826889,0.9367905624372285,0.16039844911555182
